Date,WindSpeed,WindDirection,WindEnergy
29/04/2017 00:00:00,10.08,182,164455.91
30/04/2017 00:00:00,13,247,249047.06
01/05/2017 00:00:00,8.01,224,105714.73
02/05/2017 00:00:00,4.88,353,4061.71
03/05/2017 00:00:00,5.57,100,27084.61
04/05/2017 00:00:00,7.61,112,67129.94
05/05/2017 00:00:00,9.21,193,127470.13
06/05/2017 00:00:00,8.46,208,110017.15
07/05/2017 00:00:00,5.77,94,32131.63
08/05/2017 00:00:00,6.79,90,55383.38
09/05/2017 00:00:00,7.33,102,65761.68
10/05/2017 00:00:00,6.27,158,40200.35
11/05/2017 00:00:00,9.61,193,142652.09
12/05/2017 00:00:00,7.56,225,64603.55
13/05/2017 00:00:00,10.53,194,159132.49
14/05/2017 00:00:00,8.06,182,76227.73
15/05/2017 00:00:00,5.79,191,27000.95
16/05/2017 00:00:00,4.07,209,5672.73
17/05/2017 00:00:00,4.99,298,22339.93
18/05/2017 00:00:00,6.84,286,59466.03
19/05/2017 00:00:00,6.78,265,68197.78
20/05/2017 00:00:00,3.41,106,14102.99
21/05/2017 00:00:00,5.44,105,41915.22
22/05/2017 00:00:00,4.61,341,15421.38
23/05/2017 00:00:00,7.63,78,102574.95
24/05/2017 00:00:00,5.94,95,58217.49
25/05/2017 00:00:00,3.62,139,7475.64
26/05/2017 00:00:00,4.58,185,21831.36
27/05/2017 00:00:00,4.02,133,NA
28/05/2017 00:00:00,4.13,261,NA
29/05/2017 00:00:00,5.19,243,3545.39
30/05/2017 00:00:00,5.17,354,5453
31/05/2017 00:00:00,5.37,111,13972.42
01/06/2017 00:00:00,5.47,269,6084.95
02/06/2017 00:00:00,5.53,316,12662.26
03/06/2017 00:00:00,6.16,351,21737
04/06/2017 00:00:00,5.51,339,3635.1
05/06/2017 00:00:00,10.03,221,81249.19
06/06/2017 00:00:00,5.78,307,6284.88
07/06/2017 00:00:00,5.3,199,9626.86
08/06/2017 00:00:00,5.55,243,15628.61
